"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","elevation","continent","preparations","county","locality","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes mystaceus",114.041992,22.31362,"Tsuen Wan",2022,4,19,"cdround","https://www.inaturalist.org/observations/112676228","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764201759","112676228",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes mystaceus",114.035764,22.322083,"Tsuen Wan",2022,4,26,"cdround","https://www.inaturalist.org/observations/113201691","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764337189","113201691",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes mystaceus",114.037239,22.307173,"Islands",2022,5,9,"cdround","https://www.inaturalist.org/observations/116410815","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772766420","116410815",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes mystaceus",114.035634,22.320829,"Tsuen Wan",2022,5,22,"cdround","https://www.inaturalist.org/observations/118307622","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802328999","118307622",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes mystaceus",114.035309,22.320326,"Tsuen Wan",2022,5,22,"cdround","https://www.inaturalist.org/observations/118307621","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802391899","118307621",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes mystaceus",114.035049,22.321245,"Tsuen Wan",2022,5,22,"cdround","https://www.inaturalist.org/observations/118307626","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802418152","118307626",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes mystaceus",114.036567,22.324288,"Tsuen Wan",2022,5,31,"cdround","https://www.inaturalist.org/observations/119570354","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860467850","119570354",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes mystaceus",114.133889,22.253937,"Southern",2022,7,1,"cdround","https://www.inaturalist.org/observations/125300696","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873540281","125300696",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes mystaceus",114.166579,22.457761,"Tai Po",2022,7,11,"cdround","https://www.inaturalist.org/observations/125749510","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873790956","125749510",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes mystaceus",114.039152,22.317534,"Tsuen Wan",2021,4,24,"cdround","https://www.inaturalist.org/observations/75049592","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3109080704","75049592",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes mystaceus",114.120981,22.306746,"Tsuen Wan",2021,5,16,"cdround","https://www.inaturalist.org/observations/78969896","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3118283971","78969896",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes mystaceus",114.154697,22.463612,"Tai Po",2021,5,27,"cdround","https://www.inaturalist.org/observations/112404223","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764086549","112404223",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes mystaceus",114.044125,22.307226,"Islands",2021,6,11,"cdround","https://www.inaturalist.org/observations/82646564","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3307122820","82646564",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes mystaceus",114.037571,22.319375,"Tsuen Wan",2021,7,21,"cdround","https://www.inaturalist.org/observations/90201889","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3337535109","90201889",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes mystaceus",114.039587,22.32341,"Tsuen Wan",2021,8,9,"cdround","https://www.inaturalist.org/observations/90507183","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384664032","90507183",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes mystaceus",114.040008,22.311603,"Islands",2021,10,11,"cdround","https://www.inaturalist.org/observations/97999796","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3391370097","97999796",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes mystaceus",114.037977,22.317093,"Tsuen Wan",2021,11,6,"cdround","https://www.inaturalist.org/observations/100497462","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3415527319","100497462",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes mystaceus",114.040642,22.311258,"Islands",2020,11,20,"cdround","https://www.inaturalist.org/observations/65267738","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2988388495","65267738",NA,NA,NA,NA,NA,NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Calotes mystaceus",100.113417,20.44675,"Shan State",2003,10,5,"cdround",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","543591671","235469",391.97,"ASIA","Alcohol; Tissue: Liver (Ethanol)","Maiyphayt Dist.","Tarchilake Township, Pasa Wildlife Sanctuary, near Mine Phone Monastery, 20 26 48.3 N, 100 06 48.3 E","PhysicalObject"
"821cc27a-e3bb-4bc5-ac34-89ada245069d","PRESERVED_SPECIMEN","PRESENT","Calotes mystaceus",103.17,22.07,"Lai Chau",1924,5,18,"gass84",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1317546830","USNM 68101",NA,"ASIA","Ethanol",NA,"Lai Chau, 27 km WSW of","PhysicalObject"
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Calotes mystaceus",104.268667,21.062894,"Son La Prov.",NA,NA,NA,"cdround",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","543663100","73730",NA,"ASIA","Alcohol",NA,"Chieng Pan","PhysicalObject"
"7e380070-f762-11e1-a439-00145eb45e9a","PRESERVED_SPECIMEN","PRESENT","Calotes mystaceus",100.166667,20.333333,"Bokeo",NA,NA,NA,"cdround,gass84,incomis,inmafu",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1056605949","1974.2361",NA,"ASIA",NA,NA,"Chieng Sen, N. Thailand",NA
