"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","elevation","continent","preparations","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe anomala",128.13337,35.192732,"Gyeongsangnam-do",2022,4,11,"cdround","https://www.inaturalist.org/observations/111476784","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759625016","111476784",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe anomala",126.124413,35.002176,"Jeollanam-do",2022,5,5,"cdround","https://www.inaturalist.org/observations/115526974","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772841141","115526974",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe anomala",120.478133,37.561212,"Shandong",2022,5,28,"cdround","https://www.inaturalist.org/observations/119163361","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858376444","119163361",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe anomala",121.885966,40.895422,"Liaoning",2022,7,18,"cdround","https://www.inaturalist.org/observations/126813524","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3874010113","126813524",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe anomala",126.693251,37.750834,"Gyeonggi-do",2021,6,12,"cdround","https://www.inaturalist.org/observations/82737654","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3307174916","82737654",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe anomala",118.021026,40.941733,"Hebei",2021,7,8,"cdround","https://www.inaturalist.org/observations/86060224","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3325883438","86060224",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe anomala",116.574762,40.539594,"Beijing",2021,7,4,"cdround","https://www.inaturalist.org/observations/109818995","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759172226","109818995",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe anomala",121.393735,32.310923,"Jiangsu",2021,9,17,"cdround","https://www.inaturalist.org/observations/95143076","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3383975253","95143076",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe anomala",121.416979,32.312774,"Jiangsu",2021,9,17,"cdround","https://www.inaturalist.org/observations/95142725","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3383993197","95142725",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe anomala",109.489757,36.585445,"Shaanxi",2021,9,4,"","https://www.inaturalist.org/observations/98264048","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3705737429","98264048",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe anomala",117.463749,40.642346,"Beijing",2020,4,30,"cdround","https://www.inaturalist.org/observations/44709046","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2814192492","44709046",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe anomala",109.188005,35.393991,"Shaanxi",2020,8,22,"cdround","https://www.inaturalist.org/observations/57192076","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2999216484","57192076",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe anomala",117.44727,40.64964,NA,2020,8,31,"cdround","https://www.inaturalist.org/observations/62793851","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3008451494","62793851",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe anomala",117.554686,40.644908,"Hebei",2020,9,1,"cdround","https://www.inaturalist.org/observations/62796442","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2999099547","62796442",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe anomala",117.511833,40.627404,"Hebei",2020,9,19,"cdround","https://www.inaturalist.org/observations/67134534","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3013876814","67134534",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe anomala",117.549759,40.638101,"Hebei",2020,9,17,"cdround","https://www.inaturalist.org/observations/67042994","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3014053645","67042994",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe anomala",126.594996,36.789011,"Chungcheongnam-do",2019,5,1,"cdround","https://www.inaturalist.org/observations/24271784","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2239022262","24271784",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe anomala",126.642065,36.660602,"Chungcheongnam-do",2019,6,2,"cdround","https://www.inaturalist.org/observations/26239841","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2252015761","26239841",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe anomala",126.425251,36.7045,"Chungcheongnam-do",2019,6,9,"cdround","https://www.inaturalist.org/observations/26660188","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2283026755","26660188",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe anomala",126.887993,35.537567,"Jeollabuk-do",2019,6,5,"cdround","https://www.inaturalist.org/observations/26434486","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3314221313","26434486",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe anomala",126.681644,34.777837,"Jeollanam-do",2018,4,14,"","https://www.inaturalist.org/observations/10958819","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1838342079","10958819",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe anomala",126.589195,36.740818,"Chungcheongnam-do",2018,6,24,"cdround","https://www.inaturalist.org/observations/13729633","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2573783455","13729633",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe anomala",128.299062,35.668902,"Gyeongsangbuk-do",2018,9,27,"cdround","https://www.inaturalist.org/observations/16978308","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1914246626","16978308",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe anomala",126.608719,36.704907,"Chungcheongnam-do",2018,10,1,"cdround","https://www.inaturalist.org/observations/17111080","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2573792128","17111080",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe anomala",126.44563,36.746482,"Chungcheongnam-do",2018,10,17,"","https://www.inaturalist.org/observations/17590031","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2573793216","17590031",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe anomala",116.955807,40.490461,"Beijing",2017,5,23,"cdround","https://www.inaturalist.org/observations/6722509","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3008440305","6722509",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe anomala",126.587284,36.741549,"Chungcheongnam-do",2017,7,2,"","https://www.inaturalist.org/observations/6885425","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1572350975","6885425",NA,NA,NA,NA,NA
