"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","county","type","continent","preparations","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Diploderma swinhonis",120.739794,21.975246,"Taiwan",2022,1,6,"cdround","https://www.inaturalist.org/observations/104438273","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3455873011","104438273",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Diploderma swinhonis",121.499758,24.946533,"New Taipei",2022,1,3,"cdround","https://www.inaturalist.org/observations/104255335","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3456221717","104255335",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Diploderma swinhonis",120.800913,22.2208,"Taiwan",2022,1,1,"cdround","https://www.inaturalist.org/observations/104253544","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3456502881","104253544",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Diploderma swinhonis",121.121208,22.898269,"Taiwan",2022,2,27,"cdround","https://www.inaturalist.org/observations/107563811","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3705455820","107563811",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Diploderma swinhonis",120.738778,21.927388,"Taiwan",2022,2,3,"cdround","https://www.inaturalist.org/observations/106227583","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772607473","106227583",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Diploderma swinhonis",120.790765,23.94487,"Taiwan",2022,3,10,"cdround","https://www.inaturalist.org/observations/108285507","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3712462226","108285507",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Diploderma swinhonis",121.307545,23.337406,"Taiwan",2022,3,5,"cdround","https://www.inaturalist.org/observations/107924471","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3712531613","107924471",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Diploderma swinhonis",121.539419,23.898031,"Taiwan",2022,3,10,"cdround","https://www.inaturalist.org/observations/108300860","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3712674899","108300860",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Diploderma swinhonis",120.873872,24.72582,"Taiwan",2022,3,17,"cdround","https://www.inaturalist.org/observations/108793492","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3743016050","108793492",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Diploderma swinhonis",121.551571,25.109254,"Taipei",2022,3,14,"cdround","https://www.inaturalist.org/observations/108583129","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3743128954","108583129",NA,NA,NA,NA,NA,NA,NA
