"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality","county","type","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",114.051086,22.262537,"Islands",2022,1,17,"cdround","https://www.inaturalist.org/observations/105199030","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3455689024","105199030",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",114.082986,22.419863,"Yuen Long",2022,1,3,"cdround","https://www.inaturalist.org/observations/104326854","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3456007051","104326854",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",114.084769,22.500827,"Sha Tin",2022,1,4,"cdround","https://www.inaturalist.org/observations/104705828","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3457219248","104705828",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",114.390241,22.275524,"Sai Kung",2022,1,25,"cdround,cudc","https://www.inaturalist.org/observations/105601926","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3466071188","105601926",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",114.099013,22.336413,"Sha Tin",2022,1,24,"cdround","https://www.inaturalist.org/observations/105599968","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3466126250","105599968",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",114.164076,22.333274,"Southern",2022,1,26,"cdround","https://www.inaturalist.org/observations/105643666","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3466178639","105643666",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",114.065996,22.274584,"Sha Tin",2022,1,24,"cdround","https://www.inaturalist.org/observations/105599973","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3466490554","105599973",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",114.313947,22.269127,"Sai Kung",2022,1,25,"cdround","https://www.inaturalist.org/observations/105601940","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3466504575","105601940",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",113.961978,22.401985,"Tuen Mun",2022,2,7,"cdround","https://www.inaturalist.org/observations/106299115","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3468673985","106299115",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",114.150477,22.268382,"Central and Western",2022,2,6,"cdround","https://www.inaturalist.org/observations/106241309","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3468682621","106241309",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",114.141057,22.260865,"Southern",2022,2,6,"cdround","https://www.inaturalist.org/observations/106235987","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3468700717","106235987",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",114.179661,22.337694,"Central and Western",2022,2,12,"cdround","https://www.inaturalist.org/observations/106565729","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3499327459","106565729",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",114.157897,22.219294,"Central and Western",2022,2,12,"cdround","https://www.inaturalist.org/observations/106565724","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3499359538","106565724",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",114.096422,22.244691,"Central and Western",2022,2,12,"cdround","https://www.inaturalist.org/observations/106565731","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3499393625","106565731",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",114.113497,22.269888,"Central and Western",2022,2,11,"cdround","https://www.inaturalist.org/observations/106565715","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3499679500","106565715",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",114.097299,22.588876,"Tai Po",2022,3,3,"cdround,cudc","https://www.inaturalist.org/observations/107849555","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3705589953","107849555",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",114.006841,22.395038,"Sha Tin",2022,3,7,"cdround","https://www.inaturalist.org/observations/108149859","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3712406747","108149859",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",114.041488,22.565196,"Tai Po",2022,3,4,"cdround,cudc","https://www.inaturalist.org/observations/107883912","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3712410552","107883912",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",114.039204,22.270545,"Sha Tin",2022,3,7,"cdround","https://www.inaturalist.org/observations/108149860","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3712414942","108149860",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",114.030437,22.351801,"Sha Tin",2022,3,7,"cdround","https://www.inaturalist.org/observations/108149834","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3712428942","108149834",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",114.343997,22.488174,"Tai Po",2022,3,9,"cdround","https://www.inaturalist.org/observations/108339656","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3712432064","108339656",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",114.001805,22.378464,"Tsuen Wan",2022,3,3,"cdround","https://www.inaturalist.org/observations/107869645","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3712471486","107869645",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",114.222881,22.42325,"Tai Po",2022,3,9,"cdround","https://www.inaturalist.org/observations/108339670","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3712521298","108339670",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",113.883065,22.238867,"Islands",2022,3,12,"cdround","https://www.inaturalist.org/observations/108432868","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3742985578","108432868",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",114.149796,22.271549,"Central and Western",2022,3,14,"cdround","https://www.inaturalist.org/observations/108558873","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3743290617","108558873",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",114.241842,22.390931,"Sai Kung",2022,3,13,"cdround","https://www.inaturalist.org/observations/108556283","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3743322866","108556283",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",114.080208,22.418871,"Yuen Long",2022,3,15,"cdround","https://www.inaturalist.org/observations/108734456","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759131856","108734456",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",114.229123,22.337151,"Sai Kung",2022,4,15,"cdround","https://www.inaturalist.org/observations/111751428","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3760073232","111751428",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",114.214233,22.520965,"North",2022,4,24,"cdround","https://www.inaturalist.org/observations/112662678","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764117746","112662678",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",114.262867,22.374647,"Sai Kung",2022,4,29,"cdround","https://www.inaturalist.org/observations/113235391","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764227276","113235391",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",114.261525,22.376915,"Sai Kung",2022,4,29,"cdround","https://www.inaturalist.org/observations/113235066","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764592326","113235066",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",114.191221,22.434026,"Tai Po",2022,4,29,"cdround","https://www.inaturalist.org/observations/114706581","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772545718","114706581",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko chinensis",113.907366,22.225317,"Islands",2022,4,29,"cdround","https://www.inaturalist.org/observations/114129901","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772682197","114129901",NA,NA,NA,NA,NA,NA,NA
