"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","county","locality","type","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus albolabris",114.051436,22.263305,"Islands",2022,1,17,"cdround","https://www.inaturalist.org/observations/105199022","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3456787130","105199022",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus albolabris",114.192678,22.466477,"Tai Po",2022,1,2,"cdround","https://www.inaturalist.org/observations/104234377","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3457094425","104234377",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus albolabris",114.110172,22.378406,"Tsuen Wan",2022,1,6,"cdround","https://www.inaturalist.org/observations/104497027","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3457166511","104497027",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus albolabris",114.140151,22.444883,"Tai Po",2022,1,29,"cdround","https://www.inaturalist.org/observations/105815177","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3466409433","105815177",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus albolabris",113.560255,22.120269,"Ilhas",2022,2,4,"cdround","https://www.inaturalist.org/observations/106146874","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3468665594","106146874",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus albolabris",113.858208,22.369833,"Islands",2022,2,11,"cdround,cudc","https://www.inaturalist.org/observations/106653437","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3499362752","106653437",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus albolabris",113.562143,22.122019,"Ilhas",2022,2,15,"cdround","https://www.inaturalist.org/observations/106836420","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3499476108","106836420",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus albolabris",114.039379,22.250843,"Tsuen Wan",2022,3,3,"cdround","https://www.inaturalist.org/observations/107869642","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3712440493","107869642",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus albolabris",114.18837,22.359936,"Sha Tin",2022,3,4,"cdround","https://www.inaturalist.org/observations/108001749","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3712744615","108001749",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus albolabris",113.563922,22.126089,"Ilhas",2022,3,21,"cdround","https://www.inaturalist.org/observations/109193052","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3747112900","109193052",NA,NA,NA,NA,NA,NA,NA
