"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","county","locality","type","continent","preparations","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe dione",126.715468,33.457495,"Jeju",2022,5,1,"cdround","https://www.inaturalist.org/observations/114120262","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772941597","114120262",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe dione",126.715516,33.457656,"Jeju",2022,5,1,"cdround","https://www.inaturalist.org/observations/114158157","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773124902","114158157",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe dione",126.71546,33.457661,"Jeju",2022,5,1,"cdround","https://www.inaturalist.org/observations/114569937","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773486489","114569937",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe dione",127.170912,36.712162,"Chungcheongnam-do",2022,5,8,"cdround","https://www.inaturalist.org/observations/116049304","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773550289","116049304",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe dione",126.185428,33.322435,"Jeju",2022,5,12,"cdround","https://www.inaturalist.org/observations/116647764","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773728945","116647764",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe dione",130.737188,49.112396,"Amur",2022,5,15,"cdround","https://www.inaturalist.org/observations/117946356","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802562726","117946356",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe dione",116.663784,39.91731,"Beijing",2022,6,5,"cdround","https://www.inaturalist.org/observations/120262633","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858413418","120262633",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe dione",126.723817,37.748906,"Gyeonggi-do",2022,6,27,"cdround","https://www.inaturalist.org/observations/123655858","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858658325","123655858",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe dione",131.876237,42.950375,"Primor'ye",2022,6,26,"cdround","https://www.inaturalist.org/observations/124084045","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858757586","124084045",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Elaphe dione",127.283083,36.789862,"Chungcheongnam-do",2022,6,13,"cdround","https://www.inaturalist.org/observations/121552623","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858819519","121552623",NA,NA,NA,NA,NA,NA,NA
