"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","type","locality","county","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus garnotii",114.133171,22.280377,"Kowloon City",2022,1,9,"cdround","https://www.inaturalist.org/observations/104700952","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3456561972","104700952",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus garnotii",114.179188,22.467229,"Tai Po",2022,1,27,"cdround","https://www.inaturalist.org/observations/105706553","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3466264378","105706553",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus garnotii",114.163814,22.250774,"Southern",2022,2,18,"cdround","https://www.inaturalist.org/observations/106975544","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3698278570","106975544",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus garnotii",114.135017,22.200002,"Islands",2022,2,15,"cdround","https://www.inaturalist.org/observations/106842502","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3698353452","106842502",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus garnotii",114.165604,22.263114,"Wan Chai",2022,3,30,"cdround","https://www.inaturalist.org/observations/109927239","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3760333416","109927239",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus garnotii",113.983147,22.282483,"Islands",2022,4,1,"cdround","https://www.inaturalist.org/observations/110088996","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3760262591","110088996",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus garnotii",114.020357,22.420457,"Yuen Long",2022,4,5,"cdround","https://www.inaturalist.org/observations/110483605","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3760299940","110483605",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus garnotii",114.166575,22.260105,"Wan Chai",2022,4,30,"","https://www.inaturalist.org/observations/113884404","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772464457","113884404",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus garnotii",114.248019,22.503658,"North",2022,4,29,"cdround","https://www.inaturalist.org/observations/113781835","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772635101","113781835",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus garnotii",114.273915,22.295797,"Sai Kung",2022,4,29,"cdround","https://www.inaturalist.org/observations/114272941","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772786209","114272941",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemidactylus garnotii",114.090255,22.413076,"Yuen Long",2022,4,30,"cdround","https://www.inaturalist.org/observations/113769700","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772984197","113769700",NA,NA,NA,NA,NA,NA,NA
