"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","continent","preparations","county","elevation","type","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",113.561389,22.120556,"Ilhas",2022,1,4,"cdround","https://www.inaturalist.org/observations/104388539","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759079792","104388539",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",120.554612,22.91133,"Kaohsiung",2022,2,25,"cdround","https://www.inaturalist.org/observations/109963251","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759965488","109963251",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",120.875087,23.842562,"Taiwan",2022,3,25,"cdround","https://www.inaturalist.org/observations/109514435","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3759851971","109514435",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",114.080216,22.419028,"Yuen Long",2022,3,15,"cdround","https://www.inaturalist.org/observations/121749160","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858463685","121749160",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",120.272438,22.645945,"Kaohsiung",2022,4,8,"cdround","https://www.inaturalist.org/observations/110817321","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759390354","110817321",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",121.327117,23.342333,"Taiwan",2022,4,20,"cdround","https://www.inaturalist.org/observations/112783254","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764099897","112783254",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",120.981033,24.79426,"Kaohsiung",2022,4,26,"cdround","https://www.inaturalist.org/observations/112924016","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764202999","112924016",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",114.036903,22.337603,"Tsuen Wan",2022,4,26,"cdround","https://www.inaturalist.org/observations/113201721","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764499280","113201721",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",114.263433,22.37221,"Sai Kung",2022,4,29,"cdround","https://www.inaturalist.org/observations/114488021","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772487591","114488021",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",114.145899,22.374631,"Sha Tin",2022,4,29,"cdround","https://www.inaturalist.org/observations/114456392","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772664214","114456392",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",120.626044,23.725399,"Taiwan",2022,5,9,"cdround","https://www.inaturalist.org/observations/116248454","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773730765","116248454",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",120.976725,24.745653,"Taiwan",2022,5,13,"cdround","https://www.inaturalist.org/observations/116790372","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3784738534","116790372",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",114.082898,22.565098,"Guangdong",2022,5,17,"cdround","https://www.inaturalist.org/observations/117415412","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3784760924","117415412",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",114.098335,22.212765,"Southern",2022,5,22,"cdround","https://www.inaturalist.org/observations/118303827","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3802559141","118303827",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",114.117542,22.275947,"Central and Western",2022,5,23,"cdround","https://www.inaturalist.org/observations/118334680","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802607256","118334680",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",120.420099,23.719291,"Taiwan",2022,5,22,"cdround","https://www.inaturalist.org/observations/119560358","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859571801","119560358",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",121.49994,24.953465,"New Taipei",2022,6,1,"cdround","https://www.inaturalist.org/observations/119729275","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858339958","119729275",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",114.137045,22.502684,"North",2022,6,7,"cdround","https://www.inaturalist.org/observations/120651069","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858402817","120651069",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",120.262225,22.631613,"Kaohsiung",2022,6,2,"cdround","https://www.inaturalist.org/observations/121662292","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858546628","121662292",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",121.499045,24.949755,"New Taipei",2022,6,2,"cdround","https://www.inaturalist.org/observations/119859273","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858720104","119859273",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",120.542418,23.552488,"Taiwan",2022,6,21,"cdround","https://www.inaturalist.org/observations/123497987","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859182194","123497987",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",114.143577,22.260003,"Central and Western",2022,6,24,"cdround","https://www.inaturalist.org/observations/123173244","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859790935","123173244",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",121.162949,23.124858,"Taiwan",2022,6,23,"cdround","https://www.inaturalist.org/observations/123063476","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860087799","123063476",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",114.165423,22.257619,"Southern",2022,6,4,"cdround","https://www.inaturalist.org/observations/120335407","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860675479","120335407",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",114.130577,22.355862,"Kwai Tsing",2022,6,27,"cdround","https://www.inaturalist.org/observations/123683950","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860727322","123683950",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",121.506253,23.868098,"Taiwan",2022,6,16,"cdround","https://www.inaturalist.org/observations/122303826","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3860746154","122303826",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",121.278472,23.290219,"Taiwan",2022,7,7,"cdround","https://www.inaturalist.org/observations/125411742","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3872890217","125411742",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",113.995788,22.265797,"Islands",2022,7,10,"cdround","https://www.inaturalist.org/observations/125610014","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873309914","125610014",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",120.669075,24.099647,"Taichung",2022,7,17,"cdround","https://www.inaturalist.org/observations/126770278","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873942760","126770278",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",118.814543,25.001524,"Fujian",2022,7,23,"cdround","https://www.inaturalist.org/observations/127938742","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873989972","127938742",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",118.436572,24.451253,"Fujian",2022,7,17,"cdround","https://www.inaturalist.org/observations/126617163","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3874004076","126617163",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",120.588375,22.535389,"Taiwan",2021,1,16,"cdround","https://www.inaturalist.org/observations/68137006","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3039187752","68137006",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas mucosa",113.642952,22.414986,"Guangdong",2021,1,14,"cdround","https://www.inaturalist.org/observations/69143838","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3039288616","69143838",NA,NA,NA,NA,NA,NA,NA
