"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon flavozonatus",120.11565,30.22997,"Zhejiang",2022,5,25,"cdround","https://www.inaturalist.org/observations/118921642","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858267291","118921642",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon flavozonatus",110.985877,30.195386,"Hunan",2021,5,3,"cdround","https://www.inaturalist.org/observations/77804212","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3113537765","77804212",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon flavozonatus",117.249953,27.702603,"Fujian",2021,5,11,"cdround","https://www.inaturalist.org/observations/88837870","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3333240335","88837870",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon flavozonatus",116.199749,25.749163,"Fujian",2021,7,16,"","https://www.inaturalist.org/observations/94194889","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3355583424","94194889",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon flavozonatus",121.869175,29.826754,"Zhejiang",2021,8,30,"cdround","https://www.inaturalist.org/observations/100332207","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3415836052","100332207",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon flavozonatus",116.850838,25.33742,"Fujian",2021,8,9,"cdround","https://www.inaturalist.org/observations/90864205","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3705474430","90864205",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon flavozonatus",120.424556,29.519794,"Zhejiang",2021,9,27,"cdround","https://www.inaturalist.org/observations/96443238","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384121628","96443238",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon flavozonatus",117.696771,26.632282,"Fujian",2020,4,16,"cdround","https://www.inaturalist.org/observations/101871220","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3705764416","101871220",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon flavozonatus",113.09063,24.922223,"Guangdong",2020,8,14,"cdround","https://www.inaturalist.org/observations/116394322","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772617025","116394322",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon flavozonatus",112.912648,24.983592,"Hunan",2018,7,19,"cdround","https://www.inaturalist.org/observations/51668696","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2813897203","51668696",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon flavozonatus",118.154533,29.255214,"Zhejiang",2017,8,28,"","https://www.inaturalist.org/observations/19417038","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1986578717","19417038",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon flavozonatus",113.009706,24.933358,"Guangdong",2016,6,10,"","https://www.inaturalist.org/observations/3538581","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1305122875","3538581",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Lycodon flavozonatus",112.478027,25.105497,"Guangdong",2012,8,18,"","https://www.inaturalist.org/observations/559701","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1891356995","559701",NA,NA,NA
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Lycodon flavozonatus",115.96667,29.61667,"Jiangxi Province",1936,5,1,"colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:22172","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1145532026","MVZ:Herp:22172","ASIA","whole organism; maxilla","Lianhuadong, 5 mi N Guling, Lu shan"
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Lycodon flavozonatus",118,27.7,"Fujian",1926,4,1,"rdatunl,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-45962","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476690647","R-45962","ASIA","whole animal (ethanol)","Chungan, Hsien, Yenping"
