"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","elevation","elevationAccuracy","locality","type","county","continent","preparations"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius vibakari",126.891831,33.506484,"Jeju",2022,5,6,"cdround","https://www.inaturalist.org/observations/115665328","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772483665","115665328",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius vibakari",137.172475,35.090345,"Aichi",2022,5,7,"cdround","https://www.inaturalist.org/observations/115916641","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773265286","115916641",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius vibakari",137.093807,35.00147,"Aichi",2022,5,7,"cdround","https://www.inaturalist.org/observations/115916653","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773432119","115916653",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius vibakari",126.252845,33.218638,"Jeju",2022,5,18,"cdround","https://www.inaturalist.org/observations/117548891","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3784664025","117548891",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius vibakari",127.28068,36.782095,"Chungcheongnam-do",2022,5,13,"cdround","https://www.inaturalist.org/observations/116798610","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3784914533","116798610",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius vibakari",137.12978,35.113877,"Aichi",2022,5,7,"cdround","https://www.inaturalist.org/observations/116813337","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3785025546","116813337",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius vibakari",139.612435,35.398821,"Kanagawa",2022,5,20,"cdround","https://www.inaturalist.org/observations/117812594","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802676574","117812594",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius vibakari",136.808382,35.172212,"Aichi",2022,5,21,"cdround","https://www.inaturalist.org/observations/117952488","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802678681","117952488",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius vibakari",136.820619,34.852957,"Aichi",2022,5,28,"cdround","https://www.inaturalist.org/observations/119092213","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858373425","119092213",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius vibakari",137.175657,35.178986,"Aichi",2022,5,28,"cdround","https://www.inaturalist.org/observations/119025506","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859751359","119025506",NA,NA,NA,NA,NA,NA,NA
