"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","county","locality","type","elevation","elevationAccuracy","continent","preparations"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius blomhoffii",136.48604,35.175054,"Mie",2022,3,30,"cdround","https://www.inaturalist.org/observations/112374280","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764152492","112374280",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius blomhoffii",139.402312,35.633196,"Tokyo",2022,4,25,"cdround","https://www.inaturalist.org/observations/112799422","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764329882","112799422",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius blomhoffii",137.174102,35.164237,"Aichi",2022,5,7,"cdround","https://www.inaturalist.org/observations/115916658","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773460421","115916658",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius blomhoffii",132.785492,33.816417,"Ehime",2022,7,16,"cdround","https://www.inaturalist.org/observations/127960311","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873810024","127960311",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius blomhoffii",136.919967,35.21524,"Aichi",2021,3,24,"cdround","https://www.inaturalist.org/observations/108942849","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3747071648","108942849",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius blomhoffii",139.612114,35.348312,"Kanagawa",2021,4,4,"cdround","https://www.inaturalist.org/observations/72860546","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3079890504","72860546",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius blomhoffii",137.255581,34.91994,"Aichi",2021,5,15,"cdround","https://www.inaturalist.org/observations/78803189","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3118289768","78803189",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius blomhoffii",137.156748,34.954003,"Aichi",2021,6,15,"cdround","https://www.inaturalist.org/observations/83165364","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3307385740","83165364",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius blomhoffii",135.703918,34.664551,"Nara",2021,6,11,"cdround","https://www.inaturalist.org/observations/121507184","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860016536","121507184",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius blomhoffii",135.642228,35.025264,"Kyoto",2021,7,23,"","https://www.inaturalist.org/observations/88234398","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","3333157639","88234398",NA,NA,NA,NA,NA,NA,NA
