"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","county","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon finitimus",139.697692,35.225258,"Kanagawa",2022,1,10,"cdround","https://www.inaturalist.org/observations/104945534","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3456052380","104945534",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon finitimus",139.565359,35.335359,"Kanagawa",2022,3,14,"cdround","https://www.inaturalist.org/observations/108580428","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3743123996","108580428",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon finitimus",136.921214,35.214321,"Aichi",2022,3,30,"cdround","https://www.inaturalist.org/observations/109909031","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759643367","109909031",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon finitimus",139.607635,35.357185,"Kanagawa",2022,4,10,"cdround","https://www.inaturalist.org/observations/110933906","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759292461","110933906",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon finitimus",139.989394,36.466899,"Tochigi",2022,4,8,"cdround","https://www.inaturalist.org/observations/111087175","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759295544","111087175",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon finitimus",139.459432,35.410764,"Tokyo",2022,4,12,"cdround","https://www.inaturalist.org/observations/111760031","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759483216","111760031",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon finitimus",138.247077,36.404101,"Nagano",2022,4,9,"cdround","https://www.inaturalist.org/observations/111071546","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759489556","111071546",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon finitimus",139.555619,35.427333,"Kanagawa",2022,4,9,"cdround","https://www.inaturalist.org/observations/110842139","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3759624382","110842139",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon finitimus",139.255904,35.630107,"Tokyo",2022,4,10,"cdround","https://www.inaturalist.org/observations/110973069","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3759685484","110973069",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon finitimus",139.418788,35.436212,"Kanagawa",2022,4,9,"cdround","https://www.inaturalist.org/observations/111374492","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759704894","111374492",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon finitimus",136.909842,35.126182,"Aichi",2022,4,12,"cdround","https://www.inaturalist.org/observations/111150384","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759722629","111150384",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon finitimus",139.574869,35.528518,"Tokyo",2022,4,11,"cdround","https://www.inaturalist.org/observations/111758271","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3760197183","111758271",NA,NA,NA
