"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","type","elevation","elevationAccuracy","continent","preparations","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",139.378866,35.617697,"Tokyo",2022,2,15,"cdround","https://www.inaturalist.org/observations/106787633","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3743284423","106787633",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",139.75235,35.601362,"Tokyo",2022,3,2,"","https://www.inaturalist.org/observations/108568058","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3743345767","108568058",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",139.663147,35.865763,"Saitama",2022,4,12,"cdround","https://www.inaturalist.org/observations/126403797","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3874205510","126403797",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",114.366316,30.542296,"Hubei",2022,5,22,"cdround","https://www.inaturalist.org/observations/118497925","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802591935","118497925",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",137.159168,35.367857,"Aichi",2022,5,27,"cdround","https://www.inaturalist.org/observations/118945512","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859230268","118945512",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",139.754621,35.596484,"Tokyo",2022,5,25,"cdround","https://www.inaturalist.org/observations/118732163","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859288285","118732163",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",132.187547,34.144863,"Yamaguchi",2022,6,27,"cdround","https://www.inaturalist.org/observations/123614802","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858688372","123614802",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",136.975607,35.210209,"Aichi",2022,6,24,"cdround","https://www.inaturalist.org/observations/123320777","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859105037","123320777",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",136.900434,35.072762,"Aichi",2022,6,5,"cdround","https://www.inaturalist.org/observations/120311346","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859895504","120311346",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",139.610796,35.349369,"Kanagawa",2022,7,20,"cdround","https://www.inaturalist.org/observations/127074453","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873444762","127074453",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",137.10115,35.349725,"Aichi",2022,7,24,"cdround","https://www.inaturalist.org/observations/127671512","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3881609555","127671512",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gekko japonicus",139.521709,35.45265,"Tokyo",2021,3,28,"cdround","https://www.inaturalist.org/observations/72242862","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3070367903","72242862",NA,NA,NA,NA,NA,NA,NA
