"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","elevation","locality"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemiphyllodactylus hongkongensis",114.028191,22.237723,"Southern",2022,1,26,"cdround","https://www.inaturalist.org/observations/105643653","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3466188874","105643653",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemiphyllodactylus hongkongensis",114.13679,22.276344,"Central and Western",2022,4,30,"cdround","https://www.inaturalist.org/observations/114988101","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773507999","114988101",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemiphyllodactylus hongkongensis",114.196672,22.278305,"Southern",2022,6,29,"cdround","https://www.inaturalist.org/observations/124082192","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3859553654","124082192",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemiphyllodactylus hongkongensis",114.140919,22.266142,"Central and Western",2022,7,9,"cdround","https://www.inaturalist.org/observations/125473160","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873127387","125473160",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemiphyllodactylus hongkongensis",114.203767,22.259349,"Southern",2022,7,10,"cdround","https://www.inaturalist.org/observations/125547263","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873847634","125547263",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemiphyllodactylus hongkongensis",114.157539,22.253205,"Southern",2021,4,29,"cdround","https://www.inaturalist.org/observations/75669891","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3109127623","75669891",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemiphyllodactylus hongkongensis",114.140427,22.266482,"Central and Western",2021,5,1,"cdround","https://www.inaturalist.org/observations/76408243","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3112353259","76408243",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemiphyllodactylus hongkongensis",114.197934,22.278675,"Eastern",2021,5,1,"cdround","https://www.inaturalist.org/observations/76529876","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3112587423","76529876",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemiphyllodactylus hongkongensis",114.194713,22.258083,"Wan Chai",2021,5,2,"cdround","https://www.inaturalist.org/observations/76555924","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3112809444","76555924",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hemiphyllodactylus hongkongensis",114.127309,22.222003,"Southern",2021,5,7,"cdround","https://www.inaturalist.org/observations/79005061","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3117824028","79005061",NA,NA
